id_treatment,species,cfu_ecoli_end,cfu_enterococcus_end,cfu_ecoli_start,cfu_enterococcus_start,log_change_ecoli,log_change_enterococcus
1,ctrl,1666666.6666666667,33333.333333333336,138202247.19101122,1617977.5280898877,1.9186663551781287,1.6860937401699994
2,P. ostreatus,2680000,48400,138202247.19101122,1617977.5280898877,1.7123803107656963,1.5241271238059244
3,C. comatus,1029411.7647058823,3529.411764705882,138202247.19101122,1617977.5280898877,2.1279259774864645,2.6612701564449672
4,ctrl,4080000,1200,138202247.19101122,1617977.5280898877,1.5298549417046052,3.129791239402712
5,P. ostreatus,4521739.130434782,53913.043478260865,138202247.19101122,1617977.5280898877,1.4852096015132976,1.4772786363056947
6,C. comatus,3857142.857142857,150357.14285714284,138202247.19101122,1617977.5280898877,1.5542493806497546,1.031848420956888
7,ctrl,3947.3684210526317,789.4736842105264,138202247.19101122,1617977.5280898877,4.544207442355614,3.3116348273474845
8,P. ostreatus,8333.333333333334,9583.333333333334,138202247.19101122,1617977.5280898877,4.21969635084211,2.22745589114435
9,C. comatus,4736.8421052631575,174736.84210526315,138202247.19101122,1617977.5280898877,4.465026196307989,0.9665880026991296
10,ctrl,11333333.333333334,1666.6666666666667,138202247.19101122,1617977.5280898877,1.0861574424718925,2.9871237358339804
11,P. ostreatus,17200000,22800,138202247.19101122,1617977.5280898877,0.9049866578869361,1.851037638449883
12,C. comatus,12352941.176470587,15588.235294117647,138202247.19101122,1617977.5280898877,1.0487447314388398,2.016175532891803
13,ctrl,484000,9200,138202247.19101122,1617977.5280898877,2.4556697431500725,2.2451846581047814
14,P. ostreatus,1408695.652173913,18260.869565217392,138202247.19101122,1617977.5280898877,1.9916979306054658,1.9474510310700293
15,C. comatus,1228571.4285714284,122142.85714285713,138202247.19101122,1617977.5280898877,2.0511146935651743,1.122104410736421
16,ctrl,394736.84210526315,9210.526315789473,138202247.19101122,1617977.5280898877,2.544207442355614,2.2446880377168714
17,P. ostreatus,833333.3333333334,14583.333333333334,138202247.19101122,1617977.5280898877,2.21969635084211,2.0451156828116672
18,C. comatus,473684.2105263158,26315.78947368421,138202247.19101122,1617977.5280898877,2.4650261963079894,1.788756082067147
