id_treatment,id_inoc,id_faeces,starting_date,species,material,material_2,mass,production_date,forming_date,collection_date_1,collection_date_2,total-weight,ph,water_content,sample_weight,dilution_factor_ecoli,dilution_factor_enterococcus,e_coli_counted,enterococcus_counted,comments,inoculum_age,mean_growth_speed,time_period,difference,time_step
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_1,0,1
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_2,0,2
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_3,0,3
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_4,0,4
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_5,0,5
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_6,0,6
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_7,0,7
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_8,0,8
1,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_9,0,9
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_1,0,1
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_2,0,2
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_3,0,3
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_4,0,4
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_5,0,5
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_6,0,6
2,1,1,2025-05-01T00:00:00Z,Control,corn cobs,oatbran 10%,1.5,2025-03-14T00:00:00Z,2025-04-23T00:00:00Z,2025-04-29T00:00:00Z,2025-04-30T00:00:00Z,425,7,80,0.6,10000,10000,123,50,NA,48,0,diff_7,0,7
