species,material
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
ctrl,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
P. ostreatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
C. comatus,corn cobs
