id_picture,id_treatment,starting_date,date,area_size,diameter
1,1,2025-05-01T00:00:00Z,2025-05-01T00:00:00Z,0.7853981633974483,1
2,1,2025-05-01T00:00:00Z,2025-05-02T00:00:00Z,0.7853981633974483,1
3,1,2025-05-01T00:00:00Z,2025-05-03T00:00:00Z,0.7853981633974483,1
4,1,2025-05-01T00:00:00Z,2025-05-04T00:00:00Z,0.7853981633974483,1
5,1,2025-05-01T00:00:00Z,2025-05-05T00:00:00Z,0.7853981633974483,1
6,1,2025-05-01T00:00:00Z,2025-05-06T00:00:00Z,0.7853981633974483,1
7,1,2025-05-01T00:00:00Z,2025-05-07T00:00:00Z,0.7853981633974483,1
8,1,2025-05-01T00:00:00Z,2025-05-08T00:00:00Z,0.7853981633974483,1
9,1,2025-05-01T00:00:00Z,2025-05-09T00:00:00Z,0.7853981633974483,1
10,1,2025-05-01T00:00:00Z,2025-05-10T00:00:00Z,0.7853981633974483,1
11,2,2025-05-01T00:00:00Z,2025-05-01T00:00:00Z,0.7853981633974483,1
12,2,2025-05-01T00:00:00Z,2025-05-02T00:00:00Z,0.7853981633974483,1
13,2,2025-05-01T00:00:00Z,2025-05-03T00:00:00Z,0.7853981633974483,1
14,2,2025-05-01T00:00:00Z,2025-05-04T00:00:00Z,0.7853981633974483,1
15,2,2025-05-01T00:00:00Z,2025-05-05T00:00:00Z,0.7853981633974483,1
16,2,2025-05-01T00:00:00Z,2025-05-06T00:00:00Z,0.7853981633974483,1
17,2,2025-05-01T00:00:00Z,2025-05-07T00:00:00Z,0.7853981633974483,1
18,2,2025-05-01T00:00:00Z,2025-05-08T00:00:00Z,0.7853981633974483,1
19,2,2025-05-01T00:00:00Z,2025-05-09T00:00:00Z,0.7853981633974483,1
20,2,2025-05-01T00:00:00Z,2025-05-10T00:00:00Z,0.7853981633974483,1
21,3,2025-05-01T00:00:00Z,2025-05-01T00:00:00Z,0.7853981633974483,1
22,3,2025-05-01T00:00:00Z,2025-05-02T00:00:00Z,0.7853981633974483,1
23,3,2025-05-01T00:00:00Z,2025-05-03T00:00:00Z,0.7853981633974483,1
24,3,2025-05-01T00:00:00Z,2025-05-04T00:00:00Z,0.7853981633974483,1
25,3,2025-05-01T00:00:00Z,2025-05-05T00:00:00Z,0.7853981633974483,1
26,3,2025-05-01T00:00:00Z,2025-05-06T00:00:00Z,0.7853981633974483,1
27,3,2025-05-01T00:00:00Z,2025-05-07T00:00:00Z,0.7853981633974483,1
28,3,2025-05-01T00:00:00Z,2025-05-08T00:00:00Z,0.7853981633974483,1
29,3,2025-05-01T00:00:00Z,2025-05-09T00:00:00Z,0.7853981633974483,1
30,3,2025-05-01T00:00:00Z,2025-05-10T00:00:00Z,0.7853981633974483,1
31,4,2025-05-01T00:00:00Z,2025-05-01T00:00:00Z,0.7853981633974483,1
32,4,2025-05-01T00:00:00Z,2025-05-02T00:00:00Z,1.6718083828547197,1.45897654
33,4,2025-05-01T00:00:00Z,2025-05-03T00:00:00Z,3.5414143029056557,2.123456789
34,4,2025-05-01T00:00:00Z,2025-05-04T00:00:00Z,6.498777761978971,2.87654321
35,4,2025-05-01T00:00:00Z,2025-05-05T00:00:00Z,9.860158797541002,3.543210987
36,4,2025-05-01T00:00:00Z,2025-05-06T00:00:00Z,13.927007761786738,4.210987654
37,4,2025-05-01T00:00:00Z,2025-05-07T00:00:00Z,18.67729743183837,4.87654321
38,4,2025-05-01T00:00:00Z,2025-05-08T00:00:00Z,24.133077058008634,5.543210987
39,4,2025-05-01T00:00:00Z,2025-05-09T00:00:00Z,30.29780829354025,6.210987654
40,4,2025-05-01T00:00:00Z,2025-05-10T00:00:00Z,37.13900240887735,6.87654321
41,5,2025-05-01T00:00:00Z,2025-05-01T00:00:00Z,0.7853981633974483,1
42,5,2025-05-01T00:00:00Z,2025-05-02T00:00:00Z,1.4222396008614955,1.3456789
